start	end	size	type
0x0011c4	0x0011c5	1	identical
0x0011c5	0x0011e6	33	divergent
0x0011e6	0x0011e7	1	identical
0x0011e7	0x0011ef	8	divergent
0x0011ef	0x0011f0	1	identical
0x0011f0	0x0011f2	2	divergent
0x0011f2	0x0011f3	1	identical
0x0011f3	0x0011fb	8	divergent
0x0011fb	0x0011fc	1	identical
0x0011fc	0x001224	40	divergent
0x001224	0x001225	1	identical
0x001225	0x001235	16	divergent
0x001235	0x001236	1	identical
0x001236	0x00123d	7	divergent
0x00123d	0x00123e	1	identical
0x00123e	0x001270	50	divergent
0x001270	0x001271	1	identical
0x001271	0x00127d	12	divergent
0x00127d	0x00127e	1	identical
0x00127e	0x001285	7	divergent
0x001285	0x001286	1	identical
0x001286	0x001289	3	divergent
0x001289	0x00128a	1	identical
0x00128a	0x001291	7	divergent
0x001291	0x001292	1	identical
0x001292	0x001294	2	divergent
0x001294	0x001295	1	identical
0x001295	0x00129d	8	divergent
0x00129d	0x00129e	1	identical
0x00129e	0x0012dc	62	divergent
0x0012dc	0x0012dd	1	identical
0x0012dd	0x0012ed	16	divergent
0x0012ed	0x0012ee	1	identical
0x0012ee	0x0012fb	13	divergent
0x0012fb	0x0012fc	1	identical
0x0012fc	0x0012fe	2	divergent
0x0012fe	0x0012ff	1	identical
0x0012ff	0x001311	18	divergent
0x001311	0x001312	1	identical
0x001312	0x001315	3	divergent
0x001315	0x001316	1	identical
0x001316	0x001319	3	divergent
0x001319	0x00131a	1	identical
0x00131a	0x001321	7	divergent
0x001321	0x001322	1	identical
0x001322	0x001329	7	divergent
0x001329	0x00132a	1	identical
0x00132a	0x001330	6	divergent
0x001330	0x001332	2	identical
0x001332	0x001375	67	divergent
0x001375	0x001376	1	identical
0x001376	0x0013b1	59	divergent
0x0013b1	0x0013b2	1	identical
0x0013b2	0x0013b6	4	divergent
0x0013b6	0x0013b7	1	identical
0x0013b7	0x0013bb	4	divergent
0x0013bb	0x0013bc	1	identical
0x0013bc	0x0013c2	6	divergent
0x0013c2	0x0013c3	1	identical
0x0013c3	0x00143c	121	divergent
0x00143c	0x00143d	1	identical
0x00143d	0x001440	3	divergent
0x001440	0x001441	1	identical
0x001441	0x00144f	14	divergent
0x00144f	0x001450	1	identical
0x001450	0x001453	3	divergent
0x001453	0x001454	1	identical
0x001454	0x001474	32	divergent
0x001474	0x001475	1	identical
0x001475	0x00153f	202	divergent
0x00153f	0x001540	1	identical
0x001540	0x001542	2	divergent
0x001542	0x001544	2	identical
0x001544	0x001554	16	divergent
0x001554	0x001555	1	identical
0x001555	0x001561	12	divergent
0x001561	0x001562	1	identical
0x001562	0x001564	2	divergent
0x001564	0x001566	2	identical
0x001566	0x001567	1	divergent
0x001567	0x001568	1	identical
0x001568	0x0015bc	84	divergent
0x0015bc	0x0015bd	1	identical
0x0015bd	0x0015db	30	divergent
0x0015db	0x0015dc	1	identical
0x0015dc	0x0015e7	11	divergent
0x0015e7	0x0015e8	1	identical
0x0015e8	0x00161e	54	divergent
0x00161e	0x00161f	1	identical
0x00161f	0x001645	38	divergent
0x001645	0x001646	1	identical
0x001646	0x001672	44	divergent
0x001672	0x001673	1	identical
0x001673	0x001677	4	divergent
0x001677	0x001678	1	identical
0x001678	0x00167b	3	divergent
0x00167b	0x00167c	1	identical
0x00167c	0x0016a6	42	divergent
0x0016a6	0x0016a7	1	identical
0x0016a7	0x0016c8	33	divergent
0x0016c8	0x0016c9	1	identical
0x0016c9	0x00173c	115	divergent
0x00173c	0x00173e	2	identical
0x00173e	0x001758	26	divergent
0x001758	0x001759	1	identical
0x001759	0x0017c8	111	divergent
0x0017c8	0x0017c9	1	identical
0x0017c9	0x00181f	86	divergent
0x00181f	0x001820	1	identical
0x001820	0x001876	86	divergent
0x001876	0x001877	1	identical
0x001877	0x001884	13	divergent
0x001884	0x001885	1	identical
0x001885	0x0018e6	97	divergent
0x0018e6	0x0018e7	1	identical
0x0018e7	0x001924	61	divergent
0x001924	0x001925	1	identical
0x001925	0x001929	4	divergent
0x001929	0x00192a	1	identical
0x00192a	0x001938	14	divergent
0x001938	0x001939	1	identical
0x001939	0x00193a	1	divergent
0x00193a	0x00193b	1	identical
