start	end	size	type
0x008534	0x00853b	7	divergent
0x00853b	0x00853c	1	identical
0x00853c	0x008556	26	divergent
0x008556	0x008557	1	identical
0x008557	0x00856b	20	divergent
0x00856b	0x00856c	1	identical
0x00856c	0x00863c	208	divergent
0x00863c	0x00863d	1	identical
0x00863d	0x008658	27	divergent
0x008658	0x008659	1	identical
0x008659	0x008662	9	divergent
0x008662	0x008663	1	identical
0x008663	0x0086be	91	divergent
0x0086be	0x0086c0	2	identical
0x0086c0	0x0086c5	5	divergent
0x0086c5	0x0086c6	1	identical
0x0086c6	0x008709	67	divergent
0x008709	0x00870a	1	identical
0x00870a	0x008719	15	divergent
0x008719	0x00871a	1	identical
0x00871a	0x0087b0	150	divergent
0x0087b0	0x0087b1	1	identical
0x0087b1	0x0087c2	17	divergent
0x0087c2	0x0087c3	1	identical
0x0087c3	0x008842	127	divergent
0x008842	0x008843	1	identical
0x008843	0x00884f	12	divergent
0x00884f	0x008851	2	identical
0x008851	0x008870	31	divergent
0x008870	0x008871	1	identical
0x008871	0x0088b3	66	divergent
0x0088b3	0x0088b4	1	identical
0x0088b4	0x0088ce	26	divergent
0x0088ce	0x0088cf	1	identical
0x0088cf	0x0088f7	40	divergent
0x0088f7	0x0088f8	1	identical
0x0088f8	0x0088fc	4	divergent
0x0088fc	0x008900	4	identical
0x008900	0x008901	1	divergent
0x008901	0x008902	1	identical
0x008902	0x008928	38	divergent
0x008928	0x008929	1	identical
0x008929	0x00892b	2	divergent
0x00892b	0x00892d	2	identical
0x00892d	0x008930	3	divergent
0x008930	0x008932	2	identical
0x008932	0x008933	1	divergent
0x008933	0x008934	1	identical
0x008934	0x008936	2	divergent
0x008936	0x00893a	4	identical
0x00893a	0x008949	15	divergent
0x008949	0x00894a	1	identical
0x00894a	0x008963	25	divergent
0x008963	0x008964	1	identical
0x008964	0x008992	46	divergent
0x008992	0x008993	1	identical
0x008993	0x00899c	9	divergent
0x00899c	0x00899d	1	identical
0x00899d	0x0089a7	10	divergent
0x0089a7	0x0089a8	1	identical
0x0089a8	0x0089b2	10	divergent
0x0089b2	0x0089b3	1	identical
0x0089b3	0x0089de	43	divergent
0x0089de	0x0089df	1	identical
0x0089df	0x0089e0	1	divergent
0x0089e0	0x0089e1	1	identical
0x0089e1	0x0089fa	25	divergent
0x0089fa	0x0089fb	1	identical
0x0089fb	0x008a7f	132	divergent
0x008a7f	0x008a80	1	identical
0x008a80	0x008ae8	104	divergent
0x008ae8	0x008ae9	1	identical
0x008ae9	0x008b15	44	divergent
0x008b15	0x008b16	1	identical
0x008b16	0x008b1d	7	divergent
0x008b1d	0x008b1e	1	identical
0x008b1e	0x008b5f	65	divergent
0x008b5f	0x008b60	1	identical
0x008b60	0x008b65	5	divergent
0x008b65	0x008b66	1	identical
0x008b66	0x008b6b	5	divergent
0x008b6b	0x008b6c	1	identical
0x008b6c	0x008b70	4	divergent
0x008b70	0x008b71	1	identical
0x008b71	0x008c46	213	divergent
0x008c46	0x008c47	1	identical
0x008c47	0x008c50	9	divergent
0x008c50	0x008c51	1	identical
0x008c51	0x008c85	52	divergent
0x008c85	0x008c86	1	identical
0x008c86	0x008cf1	107	divergent
0x008cf1	0x008cf2	1	identical
0x008cf2	0x008d01	15	divergent
0x008d01	0x008d02	1	identical
0x008d02	0x008d2f	45	divergent
0x008d2f	0x008d30	1	identical
0x008d30	0x008d3f	15	divergent
0x008d3f	0x008d40	1	identical
0x008d40	0x008da4	100	divergent
0x008da4	0x008da6	2	identical
0x008da6	0x008dba	20	divergent
0x008dba	0x008dc0	6	identical
0x008dc0	0x008dc1	1	divergent
0x008dc1	0x008dc2	1	identical
0x008dc2	0x008e2f	109	divergent
0x008e2f	0x008e30	1	identical
0x008e30	0x008eae	126	divergent
0x008eae	0x008eb0	2	identical
0x008eb0	0x008eb3	3	divergent
0x008eb3	0x008eb4	1	identical
0x008eb4	0x008eb9	5	divergent
0x008eb9	0x008eba	1	identical
0x008eba	0x008ebb	1	divergent
0x008ebb	0x008ebc	1	identical
0x008ebc	0x008f3a	126	divergent
0x008f3a	0x008f3b	1	identical
0x008f3b	0x008f89	78	divergent
0x008f89	0x008f8a	1	identical
0x008f8a	0x008f9b	17	divergent
0x008f9b	0x008f9c	1	identical
0x008f9c	0x008f9e	2	divergent
0x008f9e	0x008fa0	2	identical
0x008fa0	0x008fd4	52	divergent
0x008fd4	0x008fd6	2	identical
0x008fd6	0x008ffa	36	divergent
0x008ffa	0x008ffb	1	identical
0x008ffb	0x008ffd	2	divergent
0x008ffd	0x008ffe	1	identical
0x008ffe	0x009020	34	divergent
0x009020	0x009021	1	identical
0x009021	0x009028	7	divergent
0x009028	0x009029	1	identical
0x009029	0x009039	16	divergent
0x009039	0x00903a	1	identical
0x00903a	0x00903e	4	divergent
0x00903e	0x00903f	1	identical
0x00903f	0x00904d	14	divergent
0x00904d	0x00904e	1	identical
0x00904e	0x00905e	16	divergent
0x00905e	0x00905f	1	identical
0x00905f	0x00906d	14	divergent
0x00906d	0x00906e	1	identical
0x00906e	0x009085	23	divergent
0x009085	0x009086	1	identical
0x009086	0x0090a7	33	divergent
0x0090a7	0x0090a8	1	identical
0x0090a8	0x0090ff	87	divergent
0x0090ff	0x009100	1	identical
0x009100	0x009103	3	divergent
0x009103	0x009104	1	identical
0x009104	0x009152	78	divergent
0x009152	0x009153	1	identical
0x009153	0x009185	50	divergent
0x009185	0x009186	1	identical
0x009186	0x0091ab	37	divergent
0x0091ab	0x0091ac	1	identical
0x0091ac	0x0091f5	73	divergent
0x0091f5	0x0091f6	1	identical
0x0091f6	0x009204	14	divergent
0x009204	0x009206	2	identical
0x009206	0x009207	1	divergent
0x009207	0x009208	1	identical
0x009208	0x009212	10	divergent
0x009212	0x009213	1	identical
0x009213	0x009230	29	divergent
0x009230	0x009231	1	identical
0x009231	0x009258	39	divergent
0x009258	0x009259	1	identical
0x009259	0x00926b	18	divergent
0x00926b	0x00926c	1	identical
0x00926c	0x009275	9	divergent
0x009275	0x009276	1	identical
0x009276	0x009281	11	divergent
0x009281	0x009282	1	identical
0x009282	0x0092a4	34	divergent
0x0092a4	0x0092a5	1	identical
0x0092a5	0x0092b1	12	divergent
0x0092b1	0x0092b2	1	identical
0x0092b2	0x0092b3	1	divergent
0x0092b3	0x0092b4	1	identical
0x0092b4	0x0092eb	55	divergent
0x0092eb	0x0092ec	1	identical
0x0092ec	0x0092ed	1	divergent
0x0092ed	0x0092ee	1	identical
0x0092ee	0x009392	164	divergent
0x009392	0x009393	1	identical
0x009393	0x0093b3	32	divergent
0x0093b3	0x0093b4	1	identical
0x0093b4	0x0093ef	59	divergent
0x0093ef	0x0093f2	3	identical
0x0093f2	0x0093f3	1	divergent
0x0093f3	0x0093f4	1	identical
0x0093f4	0x009402	14	divergent
0x009402	0x009403	1	identical
0x009403	0x009421	30	divergent
0x009421	0x009422	1	identical
0x009422	0x009437	21	divergent
0x009437	0x009438	1	identical
0x009438	0x009449	17	divergent
0x009449	0x00944a	1	identical
0x00944a	0x00945d	19	divergent
0x00945d	0x00945e	1	identical
0x00945e	0x009462	4	divergent
0x009462	0x009463	1	identical
0x009463	0x0095c9	358	divergent
0x0095c9	0x0095ca	1	identical
0x0095ca	0x009611	71	divergent
0x009611	0x009612	1	identical
0x009612	0x00966f	93	divergent
0x00966f	0x009670	1	identical
0x009670	0x0096e5	117	divergent
0x0096e5	0x0096e6	1	identical
0x0096e6	0x009706	32	divergent
0x009706	0x009708	2	identical
0x009708	0x009710	8	divergent
0x009710	0x009711	1	identical
0x009711	0x009726	21	divergent
0x009726	0x009728	2	identical
0x009728	0x009764	60	divergent
0x009764	0x009765	1	identical
0x009765	0x009789	36	divergent
0x009789	0x00978a	1	identical
0x00978a	0x0097a8	30	divergent
0x0097a8	0x0097a9	1	identical
0x0097a9	0x0097d7	46	divergent
0x0097d7	0x0097d8	1	identical
0x0097d8	0x0097dc	4	divergent
0x0097dc	0x0097de	2	identical
0x0097de	0x0097df	1	divergent
0x0097df	0x0097e0	1	identical
0x0097e0	0x0097e1	1	divergent
0x0097e1	0x0097e2	1	identical
0x0097e2	0x009829	71	divergent
0x009829	0x009834	11	identical
0x009834	0x009835	1	divergent
0x009835	0x009838	3	identical
0x009838	0x00983a	2	divergent
0x00983a	0x009840	6	identical
0x009840	0x009897	87	divergent
0x009897	0x009898	1	identical
0x009898	0x0098b6	30	divergent
0x0098b6	0x0098b8	2	identical
0x0098b8	0x0098b9	1	divergent
0x0098b9	0x0098ba	1	identical
0x0098ba	0x0098bd	3	divergent
0x0098bd	0x0098be	1	identical
0x0098be	0x0098f2	52	divergent
0x0098f2	0x0098f3	1	identical
0x0098f3	0x009912	31	divergent
0x009912	0x009913	1	identical
0x009913	0x00998d	122	divergent
0x00998d	0x00998e	1	identical
0x00998e	0x0099cb	61	divergent
0x0099cb	0x0099cc	1	identical
0x0099cc	0x009a6f	163	divergent
0x009a6f	0x009a70	1	identical
0x009a70	0x009a9c	44	divergent
0x009a9c	0x009a9d	1	identical
0x009a9d	0x009ae7	74	divergent
0x009ae7	0x009ae8	1	identical
0x009ae8	0x009be2	250	divergent
0x009be2	0x009be4	2	identical
0x009be4	0x009bfa	22	divergent
0x009bfa	0x009bfc	2	identical
0x009bfc	0x009cd7	219	divergent
0x009cd7	0x009cd8	1	identical
0x009cd8	0x009cd9	1	divergent
0x009cd9	0x009cda	1	identical
0x009cda	0x009d3c	98	divergent
0x009d3c	0x009d3d	1	identical
0x009d3d	0x009db6	121	divergent
0x009db6	0x009db7	1	identical
0x009db7	0x009dc6	15	divergent
0x009dc6	0x009dc8	2	identical
0x009dc8	0x009dc9	1	divergent
0x009dc9	0x009dca	1	identical
0x009dca	0x009dcb	1	divergent
0x009dcb	0x009dcc	1	identical
0x009dcc	0x009dcd	1	divergent
0x009dcd	0x009dce	1	identical
0x009dce	0x009dd9	11	divergent
0x009dd9	0x009dda	1	identical
0x009dda	0x009de2	8	divergent
0x009de2	0x009de3	1	identical
0x009de3	0x009e08	37	divergent
0x009e08	0x009e09	1	identical
0x009e09	0x009eea	225	divergent
0x009eea	0x009eeb	1	identical
0x009eeb	0x009f27	60	divergent
0x009f27	0x009f28	1	identical
0x009f28	0x009f29	1	divergent
0x009f29	0x009f2a	1	identical
0x009f2a	0x009f2b	1	divergent
0x009f2b	0x009f2c	1	identical
0x009f2c	0x009f2d	1	divergent
0x009f2d	0x009f2e	1	identical
0x009f2e	0x009f85	87	divergent
0x009f85	0x009f86	1	identical
0x009f86	0x009f8d	7	divergent
0x009f8d	0x009f8e	1	identical
0x009f8e	0x00a017	137	divergent
0x00a017	0x00a019	2	identical
0x00a019	0x00a022	9	divergent
0x00a022	0x00a024	2	identical
0x00a024	0x00a0c4	160	divergent
0x00a0c4	0x00a0c5	1	identical
0x00a0c5	0x00a0ef	42	divergent
0x00a0ef	0x00a0f0	1	identical
0x00a0f0	0x00a126	54	divergent
0x00a126	0x00a127	1	identical
0x00a127	0x00a12e	7	divergent
0x00a12e	0x00a12f	1	identical
0x00a12f	0x00a13a	11	divergent
0x00a13a	0x00a13b	1	identical
0x00a13b	0x00a142	7	divergent
0x00a142	0x00a143	1	identical
0x00a143	0x00a165	34	divergent
0x00a165	0x00a166	1	identical
0x00a166	0x00a168	2	divergent
0x00a168	0x00a16a	2	identical
0x00a16a	0x00a16e	4	divergent
0x00a16e	0x00a16f	1	identical
0x00a16f	0x00a18a	27	divergent
0x00a18a	0x00a18b	1	identical
0x00a18b	0x00a19e	19	divergent
0x00a19e	0x00a19f	1	identical
0x00a19f	0x00a1b0	17	divergent
0x00a1b0	0x00a1b1	1	identical
0x00a1b1	0x00a1d2	33	divergent
0x00a1d2	0x00a1d3	1	identical
0x00a1d3	0x00a1ef	28	divergent
0x00a1ef	0x00a1f0	1	identical
0x00a1f0	0x00a1f3	3	divergent
0x00a1f3	0x00a1f6	3	identical
0x00a1f6	0x00a1f8	2	divergent
0x00a1f8	0x00a1f9	1	identical
0x00a1f9	0x00a257	94	divergent
0x00a257	0x00a258	1	identical
0x00a258	0x00a290	56	divergent
0x00a290	0x00a291	1	identical
0x00a291	0x00a2cf	62	divergent
0x00a2cf	0x00a2d0	1	identical
0x00a2d0	0x00a2d6	6	divergent
0x00a2d6	0x00a2d7	1	identical
0x00a2d7	0x00a2e5	14	divergent
0x00a2e5	0x00a2e6	1	identical
0x00a2e6	0x00a2ff	25	divergent
0x00a2ff	0x00a300	1	identical
0x00a300	0x00a31e	30	divergent
0x00a31e	0x00a31f	1	identical
0x00a31f	0x00a363	68	divergent
0x00a363	0x00a364	1	identical
0x00a364	0x00a366	2	divergent
0x00a366	0x00a367	1	identical
0x00a367	0x00a387	32	divergent
0x00a387	0x00a388	1	identical
0x00a388	0x00a39d	21	divergent
0x00a39d	0x00a3a0	3	identical
0x00a3a0	0x00a3a1	1	divergent
0x00a3a1	0x00a3ae	13	identical
0x00a3ae	0x00a3af	1	divergent
0x00a3af	0x00a3c4	21	identical
0x00a3c4	0x00a3d4	16	divergent
0x00a3d4	0x00a3d5	1	identical
0x00a3d5	0x00a418	67	divergent
0x00a418	0x00a41a	2	identical
0x00a41a	0x00a41b	1	divergent
0x00a41b	0x00a41c	1	identical
0x00a41c	0x00a502	230	divergent
0x00a502	0x00a503	1	identical
0x00a503	0x00a592	143	divergent
0x00a592	0x00a593	1	identical
0x00a593	0x00a5c2	47	divergent
0x00a5c2	0x00a5c3	1	identical
0x00a5c3	0x00a5de	27	divergent
0x00a5de	0x00a5df	1	identical
0x00a5df	0x00a5f2	19	divergent
0x00a5f2	0x00a5f3	1	identical
0x00a5f3	0x00a600	13	divergent
0x00a600	0x00a601	1	identical
0x00a601	0x00a667	102	divergent
0x00a667	0x00a668	1	identical
0x00a668	0x00a6f9	145	divergent
0x00a6f9	0x00a6fa	1	identical
0x00a6fa	0x00a75a	96	divergent
0x00a75a	0x00a75b	1	identical
0x00a75b	0x00a789	46	divergent
0x00a789	0x00a78a	1	identical
0x00a78a	0x00a79c	18	divergent
0x00a79c	0x00a79d	1	identical
0x00a79d	0x00a7cf	50	divergent
0x00a7cf	0x00a7d0	1	identical
0x00a7d0	0x00a7dd	13	divergent
0x00a7dd	0x00a7de	1	identical
0x00a7de	0x00a812	52	divergent
0x00a812	0x00a813	1	identical
0x00a813	0x00a818	5	divergent
0x00a818	0x00a819	1	identical
0x00a819	0x00a879	96	divergent
0x00a879	0x00a87a	1	identical
0x00a87a	0x00a885	11	divergent
0x00a885	0x00a886	1	identical
0x00a886	0x00a8c2	60	divergent
0x00a8c2	0x00a8c3	1	identical
0x00a8c3	0x00a94e	139	divergent
0x00a94e	0x00a94f	1	identical
0x00a94f	0x00a97e	47	divergent
0x00a97e	0x00a97f	1	identical
0x00a97f	0x00aa00	129	divergent
0x00aa00	0x00aa02	2	identical
0x00aa02	0x00aa03	1	divergent
0x00aa03	0x00aa04	1	identical
0x00aa04	0x00aa54	80	divergent
0x00aa54	0x00aa55	1	identical
0x00aa55	0x00aa6f	26	divergent
0x00aa6f	0x00aa70	1	identical
0x00aa70	0x00aa8c	28	divergent
0x00aa8c	0x00aa8e	2	identical
0x00aa8e	0x00aaae	32	divergent
0x00aaae	0x00aaaf	1	identical
0x00aaaf	0x00aaff	80	divergent
0x00aaff	0x00ab00	1	identical
0x00ab00	0x00aba1	161	divergent
0x00aba1	0x00aba2	1	identical
0x00aba2	0x00abb9	23	divergent
0x00abb9	0x00abba	1	identical
0x00abba	0x00abbf	5	divergent
0x00abbf	0x00abc0	1	identical
0x00abc0	0x00abc5	5	divergent
0x00abc5	0x00abc6	1	identical
0x00abc6	0x00ac56	144	divergent
0x00ac56	0x00ac57	1	identical
0x00ac57	0x00ac8a	51	divergent
0x00ac8a	0x00ac8b	1	identical
0x00ac8b	0x00acc6	59	divergent
0x00acc6	0x00acc7	1	identical
0x00acc7	0x00ace7	32	divergent
0x00ace7	0x00ace8	1	identical
0x00ace8	0x00acfe	22	divergent
0x00acfe	0x00acff	1	identical
0x00acff	0x00ad5e	95	divergent
0x00ad5e	0x00ad5f	1	identical
0x00ad5f	0x00ad83	36	divergent
0x00ad83	0x00ad84	1	identical
0x00ad84	0x00adab	39	divergent
0x00adab	0x00adac	1	identical
0x00adac	0x00adae	2	divergent
0x00adae	0x00adaf	1	identical
0x00adaf	0x00ae20	113	divergent
0x00ae20	0x00ae21	1	identical
0x00ae21	0x00ae63	66	divergent
0x00ae63	0x00ae64	1	identical
0x00ae64	0x00ae76	18	divergent
0x00ae76	0x00ae77	1	identical
0x00ae77	0x00ae7c	5	divergent
0x00ae7c	0x00ae7d	1	identical
0x00ae7d	0x00aec2	69	divergent
0x00aec2	0x00aec3	1	identical
0x00aec3	0x00aec5	2	divergent
0x00aec5	0x00aec6	1	identical
0x00aec6	0x00af56	144	divergent
0x00af56	0x00af57	1	identical
0x00af57	0x00af86	47	divergent
0x00af86	0x00af87	1	identical
0x00af87	0x00af9c	21	divergent
0x00af9c	0x00af9d	1	identical
0x00af9d	0x00afc6	41	divergent
0x00afc6	0x00afc7	1	identical
0x00afc7	0x00afd9	18	divergent
0x00afd9	0x00afda	1	identical
0x00afda	0x00aff9	31	divergent
0x00aff9	0x00affa	1	identical
0x00affa	0x00b03f	69	divergent
0x00b03f	0x00b040	1	identical
0x00b040	0x00b080	64	divergent
0x00b080	0x00b082	2	identical
0x00b082	0x00b088	6	divergent
0x00b088	0x00b089	1	identical
0x00b089	0x00b08d	4	divergent
0x00b08d	0x00b08e	1	identical
0x00b08e	0x00b0c1	51	divergent
0x00b0c1	0x00b0c2	1	identical
0x00b0c2	0x00b0d8	22	divergent
0x00b0d8	0x00b0d9	1	identical
0x00b0d9	0x00b17e	165	divergent
0x00b17e	0x00b180	2	identical
0x00b180	0x00b181	1	divergent
0x00b181	0x00b182	1	identical
0x00b182	0x00b19e	28	divergent
0x00b19e	0x00b19f	1	identical
0x00b19f	0x00b1b4	21	divergent
0x00b1b4	0x00b1b5	1	identical
0x00b1b5	0x00b222	109	divergent
0x00b222	0x00b223	1	identical
0x00b223	0x00b25b	56	divergent
0x00b25b	0x00b25c	1	identical
0x00b25c	0x00b26a	14	divergent
0x00b26a	0x00b26b	1	identical
0x00b26b	0x00b286	27	divergent
0x00b286	0x00b288	2	identical
0x00b288	0x00b2b2	42	divergent
0x00b2b2	0x00b2b3	1	identical
0x00b2b3	0x00b2c6	19	divergent
0x00b2c6	0x00b2c7	1	identical
0x00b2c7	0x00b2e2	27	divergent
0x00b2e2	0x00b2e3	1	identical
0x00b2e3	0x00b31b	56	divergent
0x00b31b	0x00b31c	1	identical
0x00b31c	0x00b36b	79	divergent
0x00b36b	0x00b36c	1	identical
0x00b36c	0x00b3ae	66	divergent
0x00b3ae	0x00b3af	1	identical
0x00b3af	0x00b3dd	46	divergent
0x00b3dd	0x00b3de	1	identical
0x00b3de	0x00b3fc	30	divergent
0x00b3fc	0x00b3fd	1	identical
0x00b3fd	0x00b455	88	divergent
0x00b455	0x00b456	1	identical
0x00b456	0x00b45c	6	divergent
0x00b45c	0x00b45d	1	identical
0x00b45d	0x00b45f	2	divergent
0x00b45f	0x00b460	1	identical
0x00b460	0x00b473	19	divergent
0x00b473	0x00b474	1	identical
0x00b474	0x00b489	21	divergent
0x00b489	0x00b48a	1	identical
0x00b48a	0x00b4d0	70	divergent
0x00b4d0	0x00b4d2	2	identical
0x00b4d2	0x00b4e3	17	divergent
0x00b4e3	0x00b4e4	1	identical
0x00b4e4	0x00b4f1	13	divergent
0x00b4f1	0x00b4f2	1	identical
0x00b4f2	0x00b500	14	divergent
0x00b500	0x00b501	1	identical
0x00b501	0x00b51c	27	divergent
0x00b51c	0x00b51e	2	identical
0x00b51e	0x00b522	4	divergent
0x00b522	0x00b523	1	identical
0x00b523	0x00b527	4	divergent
0x00b527	0x00b528	1	identical
0x00b528	0x00b590	104	divergent
0x00b590	0x00b591	1	identical
0x00b591	0x00b59c	11	divergent
0x00b59c	0x00b59d	1	identical
0x00b59d	0x00b5b4	23	divergent
0x00b5b4	0x00b5b6	2	identical
0x00b5b6	0x00b5b7	1	divergent
0x00b5b7	0x00b5b8	1	identical
0x00b5b8	0x00b5c8	16	divergent
0x00b5c8	0x00b5c9	1	identical
0x00b5c9	0x00b63f	118	divergent
0x00b63f	0x00b640	1	identical
0x00b640	0x00b6ab	107	divergent
0x00b6ab	0x00b6ac	1	identical
0x00b6ac	0x00b6af	3	divergent
0x00b6af	0x00b6b0	1	identical
0x00b6b0	0x00b6cd	29	divergent
0x00b6cd	0x00b6ce	1	identical
0x00b6ce	0x00b6fa	44	divergent
0x00b6fa	0x00b6fb	1	identical
0x00b6fb	0x00b71f	36	divergent
0x00b71f	0x00b720	1	identical
0x00b720	0x00b721	1	divergent
0x00b721	0x00b722	1	identical
0x00b722	0x00b75a	56	divergent
0x00b75a	0x00b75c	2	identical
0x00b75c	0x00b76a	14	divergent
0x00b76a	0x00b76b	1	identical
0x00b76b	0x00b7d1	102	divergent
0x00b7d1	0x00b7d2	1	identical
0x00b7d2	0x00b809	55	divergent
0x00b809	0x00b80a	1	identical
0x00b80a	0x00b884	122	divergent
0x00b884	0x00b886	2	identical
0x00b886	0x00b887	1	divergent
0x00b887	0x00b888	1	identical
0x00b888	0x00b9a0	280	divergent
0x00b9a0	0x00b9a1	1	identical
0x00b9a1	0x00b9f8	87	divergent
0x00b9f8	0x00b9f9	1	identical
0x00b9f9	0x00ba20	39	divergent
0x00ba20	0x00ba21	1	identical
0x00ba21	0x00ba3d	28	divergent
0x00ba3d	0x00ba3e	1	identical
0x00ba3e	0x00ba4b	13	divergent
0x00ba4b	0x00ba4c	1	identical
0x00ba4c	0x00ba4d	1	divergent
0x00ba4d	0x00ba4e	1	identical
0x00ba4e	0x00ba7f	49	divergent
0x00ba7f	0x00ba81	2	identical
0x00ba81	0x00bab7	54	divergent
0x00bab7	0x00bab9	2	identical
0x00bab9	0x00bb2f	118	divergent
0x00bb2f	0x00bb30	1	identical
0x00bb30	0x00bb92	98	divergent
0x00bb92	0x00bb93	1	identical
0x00bb93	0x00bb97	4	divergent
0x00bb97	0x00bb98	1	identical
0x00bb98	0x00bbb7	31	divergent
0x00bbb7	0x00bbb8	1	identical
0x00bbb8	0x00bbd0	24	divergent
0x00bbd0	0x00bbd2	2	identical
0x00bbd2	0x00bbe0	14	divergent
0x00bbe0	0x00bbe1	1	identical
0x00bbe1	0x00bc2b	74	divergent
0x00bc2b	0x00bc2e	3	identical
0x00bc2e	0x00bc2f	1	divergent
0x00bc2f	0x00bc30	1	identical
0x00bc30	0x00bc9b	107	divergent
0x00bc9b	0x00bc9c	1	identical
0x00bc9c	0x00bca5	9	divergent
0x00bca5	0x00bca8	3	identical
0x00bca8	0x00bca9	1	divergent
0x00bca9	0x00bcaa	1	identical
0x00bcaa	0x00bcb5	11	divergent
0x00bcb5	0x00bcb6	1	identical
0x00bcb6	0x00bcd7	33	divergent
0x00bcd7	0x00bcd8	1	identical
0x00bcd8	0x00bdd4	252	divergent
0x00bdd4	0x00bdd5	1	identical
0x00bdd5	0x00bdd8	3	divergent
0x00bdd8	0x00bdd9	1	identical
0x00bdd9	0x00be1a	65	divergent
0x00be1a	0x00be1b	1	identical
0x00be1b	0x00be94	121	divergent
0x00be94	0x00be95	1	identical
0x00be95	0x00bee3	78	divergent
0x00bee3	0x00bee4	1	identical
0x00bee4	0x00bee8	4	divergent
0x00bee8	0x00bee9	1	identical
0x00bee9	0x00beee	5	divergent
0x00beee	0x00bef0	2	identical
0x00bef0	0x00bef1	1	divergent
0x00bef1	0x00bef2	1	identical
0x00bef2	0x00bf08	22	divergent
0x00bf08	0x00bf0a	2	identical
0x00bf0a	0x00bf0b	1	divergent
0x00bf0b	0x00bf0c	1	identical
0x00bf0c	0x00bf15	9	divergent
0x00bf15	0x00bf16	1	identical
0x00bf16	0x00bf3f	41	divergent
0x00bf3f	0x00bf40	1	identical
0x00bf40	0x00bfb5	117	divergent
0x00bfb5	0x00bfb6	1	identical
0x00bfb6	0x00bfc7	17	divergent
0x00bfc7	0x00bfc8	1	identical
0x00bfc8	0x00bfd2	10	divergent
0x00bfd2	0x00bfd3	1	identical
0x00bfd3	0x00bfe9	22	divergent
0x00bfe9	0x00bfea	1	identical
0x00bfea	0x00bfef	5	divergent
0x00bfef	0x00bff2	3	identical
0x00bff2	0x00bff3	1	divergent
0x00bff3	0x00bff4	1	identical
0x00bff4	0x00c03e	74	divergent
0x00c03e	0x00c03f	1	identical
0x00c03f	0x00c047	8	divergent
0x00c047	0x00c048	1	identical
0x00c048	0x00c056	14	divergent
0x00c056	0x00c057	1	identical
0x00c057	0x00c059	2	divergent
0x00c059	0x00c05a	1	identical
0x00c05a	0x00c07c	34	divergent
0x00c07c	0x00c07d	1	identical
0x00c07d	0x00c0ad	48	divergent
0x00c0ad	0x00c0ae	1	identical
0x00c0ae	0x00c0bf	17	divergent
0x00c0bf	0x00c0c0	1	identical
0x00c0c0	0x00c0e2	34	divergent
0x00c0e2	0x00c0e3	1	identical
0x00c0e3	0x00c0e6	3	divergent
0x00c0e6	0x00c0e7	1	identical
0x00c0e7	0x00c113	44	divergent
0x00c113	0x00c114	1	identical
0x00c114	0x00c125	17	divergent
0x00c125	0x00c126	1	identical
0x00c126	0x00c14f	41	divergent
0x00c14f	0x00c150	1	identical
0x00c150	0x00c17c	44	divergent
0x00c17c	0x00c17d	1	identical
0x00c17d	0x00c195	24	divergent
0x00c195	0x00c196	1	identical
0x00c196	0x00c1a9	19	divergent
0x00c1a9	0x00c1aa	1	identical
0x00c1aa	0x00c1df	53	divergent
0x00c1df	0x00c1e0	1	identical
0x00c1e0	0x00c21b	59	divergent
0x00c21b	0x00c21c	1	identical
0x00c21c	0x00c226	10	divergent
0x00c226	0x00c227	1	identical
0x00c227	0x00c244	29	divergent
0x00c244	0x00c245	1	identical
0x00c245	0x00c247	2	divergent
0x00c247	0x00c248	1	identical
0x00c248	0x00c270	40	divergent
0x00c270	0x00c271	1	identical
0x00c271	0x00c295	36	divergent
0x00c295	0x00c296	1	identical
0x00c296	0x00c298	2	divergent
0x00c298	0x00c29a	2	identical
0x00c29a	0x00c29b	1	divergent
0x00c29b	0x00c29e	3	identical
0x00c29e	0x00c2b8	26	divergent
0x00c2b8	0x00c2b9	1	identical
0x00c2b9	0x00c2f3	58	divergent
0x00c2f3	0x00c2f4	1	identical
0x00c2f4	0x00c34c	88	divergent
0x00c34c	0x00c34d	1	identical
0x00c34d	0x00c353	6	divergent
0x00c353	0x00c354	1	identical
0x00c354	0x00c39c	72	divergent
0x00c39c	0x00c39d	1	identical
0x00c39d	0x00c3a8	11	divergent
0x00c3a8	0x00c3a9	1	identical
0x00c3a9	0x00c41c	115	divergent
0x00c41c	0x00c41e	2	identical
0x00c41e	0x00c435	23	divergent
0x00c435	0x00c436	1	identical
0x00c436	0x00c461	43	divergent
0x00c461	0x00c462	1	identical
0x00c462	0x00c4a8	70	divergent
0x00c4a8	0x00c4a9	1	identical
0x00c4a9	0x00c4e7	62	divergent
0x00c4e7	0x00c4f0	9	identical
0x00c4f0	0x00c4f1	1	divergent
0x00c4f1	0x00c4f2	1	identical
0x00c4f2	0x00c50f	29	divergent
0x00c50f	0x00c510	1	identical
0x00c510	0x00c516	6	divergent
0x00c516	0x00c518	2	identical
0x00c518	0x00c519	1	divergent
0x00c519	0x00c51a	1	identical
0x00c51a	0x00c52b	17	divergent
0x00c52b	0x00c52c	1	identical
0x00c52c	0x00c535	9	divergent
0x00c535	0x00c536	1	identical
0x00c536	0x00c544	14	divergent
0x00c544	0x00c546	2	identical
0x00c546	0x00c547	1	divergent
0x00c547	0x00c548	1	identical
0x00c548	0x00c549	1	divergent
