A: /home/workspace/git/openwatch/firmwares/H59MA_1.00.13_251230.bin  size=145552  sha256=7347dc5fe7c552d4f0fb93cffa2dd9cab6945b5628900705a07eb7a357781b65
  0x000F48..0x000F65  divergent  size=29
  0x000F65..0x000F66  identical  size=1
  0x000F66..0x000F71  divergent  size=11
  0x000F71..0x000F72  identical  size=1
  0x000F72..0x000F7D  divergent  size=11
  0x000F7D..0x000F7E  identical  size=1
  0x000F7E..0x000FC6  divergent  size=72
  0x000FC6..0x000FC7  identical  size=1
  0x000FC7..0x000FF8  divergent  size=49
  0x000FF8..0x000FF9  identical  size=1
  0x000FF9..0x001026  divergent  size=45
  0x001026..0x001027  identical  size=1
  0x001027..0x001044  divergent  size=29
  0x001044..0x001045  identical  size=1
  0x001045..0x00104D  divergent  size=8
  0x00104D..0x00104E  identical  size=1
  0x00104E..0x001093  divergent  size=69
  0x001093..0x001094  identical  size=1
  0x001094..0x0010A2  divergent  size=14
  0x0010A2..0x0010A3  identical  size=1
  0x0010A3..0x0010A9  divergent  size=6
  0x0010A9..0x0010AA  identical  size=1
  0x0010AA..0x0010B7  divergent  size=13
  0x0010B7..0x0010BA  identical  size=3
  0x0010BA..0x0010BB  divergent  size=1
  0x0010BB..0x0010BC  identical  size=1
  0x0010BC..0x0010D4  divergent  size=24
  0x0010D4..0x0010D5  identical  size=1
  0x0010D5..0x0010D6  divergent  size=1
  0x0010D6..0x0010D8  identical  size=2
  0x0010D8..0x0010E1  divergent  size=9
  0x0010E1..0x0010E2  identical  size=1
  0x0010E2..0x0010F8  divergent  size=22
  0x0010F8..0x0010F9  identical  size=1
  0x0010F9..0x0011C4  divergent  size=203
  0x0011C4..0x0011C5  identical  size=1
  0x0011C5..0x0011E6  divergent  size=33
  0x0011E6..0x0011E7  identical  size=1
  0x0011E7..0x0011EF  divergent  size=8
  0x0011EF..0x0011F0  identical  size=1
  0x0011F0..0x0011F2  divergent  size=2
  0x0011F2..0x0011F3  identical  size=1
  0x0011F3..0x0011FB  divergent  size=8
  0x0011FB..0x0011FC  identical  size=1
  0x0011FC..0x001224  divergent  size=40
  0x001224..0x001225  identical  size=1
  0x001225..0x001235  divergent  size=16
  0x001235..0x001236  identical  size=1
  0x001236..0x00123D  divergent  size=7
  0x00123D..0x00123E  identical  size=1
  0x00123E..0x001270  divergent  size=50
  0x001270..0x001271  identical  size=1
  0x001271..0x00127D  divergent  size=12
  0x00127D..0x00127E  identical  size=1
  0x00127E..0x001285  divergent  size=7
  0x001285..0x001286  identical  size=1
  0x001286..0x001289  divergent  size=3
  0x001289..0x00128A  identical  size=1
  0x00128A..0x001291  divergent  size=7
  0x001291..0x001292  identical  size=1
  0x001292..0x001294  divergent  size=2
  0x001294..0x001295  identical  size=1
  0x001295..0x00129D  divergent  size=8
  0x00129D..0x00129E  identical  size=1
  0x00129E..0x0012DC  divergent  size=62
  0x0012DC..0x0012DD  identical  size=1
  0x0012DD..0x0012ED  divergent  size=16
  0x0012ED..0x0012EE  identical  size=1
  0x0012EE..0x0012FB  divergent  size=13
  0x0012FB..0x0012FC  identical  size=1
  0x0012FC..0x0012FE  divergent  size=2
  0x0012FE..0x0012FF  identical  size=1
  0x0012FF..0x001311  divergent  size=18
  0x001311..0x001312  identical  size=1
  0x001312..0x001315  divergent  size=3
  0x001315..0x001316  identical  size=1
  0x001316..0x001319  divergent  size=3
  0x001319..0x00131A  identical  size=1
  0x00131A..0x001321  divergent  size=7
  0x001321..0x001322  identical  size=1
  0x001322..0x001329  divergent  size=7
  0x001329..0x00132A  identical  size=1
  0x00132A..0x001330  divergent  size=6
  0x001330..0x001332  identical  size=2
  0x001332..0x001375  divergent  size=67
  0x001375..0x001376  identical  size=1
  0x001376..0x0013B1  divergent  size=59
  0x0013B1..0x0013B2  identical  size=1
  0x0013B2..0x0013B6  divergent  size=4
  0x0013B6..0x0013B7  identical  size=1
  0x0013B7..0x0013BB  divergent  size=4
  0x0013BB..0x0013BC  identical  size=1
  0x0013BC..0x0013C2  divergent  size=6
  0x0013C2..0x0013C3  identical  size=1
  0x0013C3..0x00143C  divergent  size=121
  0x00143C..0x00143D  identical  size=1
  0x00143D..0x001440  divergent  size=3
  0x001440..0x001441  identical  size=1
  0x001441..0x00144F  divergent  size=14
  0x00144F..0x001450  identical  size=1
  0x001450..0x001453  divergent  size=3
  0x001453..0x001454  identical  size=1
  0x001454..0x001474  divergent  size=32
  0x001474..0x001475  identical  size=1
  0x001475..0x00153F  divergent  size=202
  0x00153F..0x001540  identical  size=1
  0x001540..0x001542  divergent  size=2
  0x001542..0x001544  identical  size=2
  0x001544..0x001554  divergent  size=16
  0x001554..0x001555  identical  size=1
  0x001555..0x001561  divergent  size=12
  0x001561..0x001562  identical  size=1
  0x001562..0x001564  divergent  size=2
  0x001564..0x001566  identical  size=2
  0x001566..0x001567  divergent  size=1
  0x001567..0x001568  identical  size=1
  0x001568..0x0015BC  divergent  size=84
  0x0015BC..0x0015BD  identical  size=1
  0x0015BD..0x0015DB  divergent  size=30
  0x0015DB..0x0015DC  identical  size=1
  0x0015DC..0x0015E7  divergent  size=11
  0x0015E7..0x0015E8  identical  size=1
  0x0015E8..0x00161E  divergent  size=54
  0x00161E..0x00161F  identical  size=1
  0x00161F..0x001645  divergent  size=38
  0x001645..0x001646  identical  size=1
  0x001646..0x001672  divergent  size=44
  0x001672..0x001673  identical  size=1
  0x001673..0x001677  divergent  size=4
  0x001677..0x001678  identical  size=1
  0x001678..0x00167B  divergent  size=3
  0x00167B..0x00167C  identical  size=1
  0x00167C..0x0016A6  divergent  size=42
  0x0016A6..0x0016A7  identical  size=1
  0x0016A7..0x0016C8  divergent  size=33
  0x0016C8..0x0016C9  identical  size=1
  0x0016C9..0x00173C  divergent  size=115
  0x00173C..0x00173E  identical  size=2
  0x00173E..0x001758  divergent  size=26
  0x001758..0x001759  identical  size=1
  0x001759..0x0017C8  divergent  size=111
  0x0017C8..0x0017C9  identical  size=1
  0x0017C9..0x00181F  divergent  size=86
  0x00181F..0x001820  identical  size=1
  0x001820..0x001876  divergent  size=86
  0x001876..0x001877  identical  size=1
  0x001877..0x001884  divergent  size=13
  0x001884..0x001885  identical  size=1
  0x001885..0x0018E6  divergent  size=97
  0x0018E6..0x0018E7  identical  size=1
  0x0018E7..0x001924  divergent  size=61
  0x001924..0x001925  identical  size=1
  0x001925..0x001929  divergent  size=4
  0x001929..0x00192A  identical  size=1
  0x00192A..0x001938  divergent  size=14
  0x001938..0x001939  identical  size=1
  0x001939..0x00193A  divergent  size=1
  0x00193A..0x00193B  identical  size=1
  0x00193B..0x001946  divergent  size=11
  0x001946..0x001947  identical  size=1
  0x001947..0x00194A  divergent  size=3
  0x00194A..0x00194C  identical  size=2
  0x00194C..0x00194D  divergent  size=1
  0x00194D..0x00194E  identical  size=1
  0x00194E..0x001954  divergent  size=6
  0x001954..0x001955  identical  size=1
  0x001955..0x001968  divergent  size=19
  0x001968..0x001969  identical  size=1
  0x001969..0x00196C  divergent  size=3
  0x00196C..0x00196D  identical  size=1
  0x00196D..0x001986  divergent  size=25
  0x001986..0x001987  identical  size=1
  0x001987..0x0019C4  divergent  size=61
  0x0019C4..0x0019C5  identical  size=1
  0x0019C5..0x0019CA  divergent  size=5
  0x0019CA..0x0019CB  identical  size=1
  0x0019CB..0x0019D8  divergent  size=13
  0x0019D8..0x0019D9  identical  size=1
  0x0019D9..0x001A26  divergent  size=77
  0x001A26..0x001A27  identical  size=1
  0x001A27..0x001A70  divergent  size=73
  0x001A70..0x001A71  identical  size=1
  0x001A71..0x001AB2  divergent  size=65
  0x001AB2..0x001AB3  identical  size=1
  0x001AB3..0x001ABE  divergent  size=11
  0x001ABE..0x001AC1  identical  size=3
  0x001AC1..0x001AEA  divergent  size=41
  0x001AEA..0x001AEB  identical  size=1
  0x001AEB..0x001AEC  divergent  size=1
  0x001AEC..0x001AED  identical  size=1
  0x001AED..0x001B41  divergent  size=84
  0x001B41..0x001B42  identical  size=1
  0x001B42..0x001B73  divergent  size=49
  0x001B73..0x001B74  identical  size=1
  0x001B74..0x001B8F  divergent  size=27
  0x001B8F..0x001B90  identical  size=1
  0x001B90..0x001B9B  divergent  size=11
  0x001B9B..0x001B9C  identical  size=1
  0x001B9C..0x001BAF  divergent  size=19
  0x001BAF..0x001BB0  identical  size=1
  0x001BB0..0x001BC3  divergent  size=19
  0x001BC3..0x001BC4  identical  size=1
  0x001BC4..0x001BCC  divergent  size=8
  0x001BCC..0x001BCD  identical  size=1
  0x001BCD..0x001BD0  divergent  size=3
  0x001BD0..0x001BD1  identical  size=1
  0x001BD1..0x001C37  divergent  size=102
  0x001C37..0x001C38  identical  size=1
  0x001C38..0x001C46  divergent  size=14
  0x001C46..0x001C47  identical  size=1
  0x001C47..0x001C5D  divergent  size=22
  0x001C5D..0x001C5F  identical  size=2
  0x001C5F..0x001CF6  divergent  size=151
  0x001CF6..0x001CF7  identical  size=1
  0x001CF7..0x001CFD  divergent  size=6
  0x001CFD..0x001CFE  identical  size=1
  0x001CFE..0x001D12  divergent  size=20
  0x001D12..0x001D14  identical  size=2
  0x001D14..0x001D1C  divergent  size=8
  0x001D1C..0x001D1D  identical  size=1
  0x001D1D..0x001D1F  divergent  size=2
  0x001D1F..0x001D20  identical  size=1
  0x001D20..0x001D21  divergent  size=1
  0x001D21..0x001D22  identical  size=1
  0x001D22..0x001D23  divergent  size=1
  0x001D23..0x001D24  identical  size=1
  0x001D24..0x001E19  divergent  size=245
  0x001E19..0x001E1A  identical  size=1
  0x001E1A..0x001E2D  divergent  size=19
  0x001E2D..0x001E2E  identical  size=1
  0x001E2E..0x001E55  divergent  size=39
  0x001E55..0x001E56  identical  size=1
  0x001E56..0x001E57  divergent  size=1
  0x001E57..0x001E58  identical  size=1
  0x001E58..0x001E73  divergent  size=27
  0x001E73..0x001E74  identical  size=1
  0x001E74..0x001E92  divergent  size=30
  0x001E92..0x001E93  identical  size=1
  0x001E93..0x001FB8  divergent  size=293
  0x001FB8..0x001FB9  identical  size=1
  0x001FB9..0x001FC7  divergent  size=14
  0x001FC7..0x001FC8  identical  size=1
  0x001FC8..0x001FE1  divergent  size=25
  0x001FE1..0x001FE2  identical  size=1
  0x001FE2..0x001FE3  divergent  size=1
  0x001FE3..0x001FE4  identical  size=1
  0x001FE4..0x001FF9  divergent  size=21
  0x001FF9..0x001FFA  identical  size=1
  0x001FFA..0x00209D  divergent  size=163
  0x00209D..0x00209E  identical  size=1
  0x00209E..0x0020C9  divergent  size=43
  0x0020C9..0x0020CA  identical  size=1
  0x0020CA..0x0020E7  divergent  size=29
  0x0020E7..0x0020E8  identical  size=1
  0x0020E8..0x002105  divergent  size=29
  0x002105..0x002106  identical  size=1
  0x002106..0x00210D  divergent  size=7
  0x00210D..0x00210E  identical  size=1
  0x00210E..0x002119  divergent  size=11
